year,week,loc,state,country,loc_type,number,event
1980,15,MINNESOTA,MN,US,STATE,50,CASES
1980,15,NEBRASKA,NE,US,STATE,6,CASES
1980,15,VIRGINIA,VA,US,STATE,16,CASES
1980,15,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,15,NORTH CAROLINA,NC,US,STATE,2,CASES
1980,15,SOUTH CAROLINA,SC,US,STATE,6,CASES
1980,15,GEORGIA,GA,US,STATE,37,CASES
1980,15,FLORIDA,FL,US,STATE,17,CASES
1980,15,KENTUCKY,KY,US,STATE,1,CASES
1980,15,ALABAMA,AL,US,STATE,1,CASES
1980,15,MISSISSIPPI,MS,US,STATE,3,CASES
1980,15,OKLAHOMA,OK,US,STATE,45,CASES
1980,15,TEXAS,TX,US,STATE,4,CASES
1980,15,NEW MEXICO,NM,US,STATE,1,CASES
1980,15,ARIZONA,AZ,US,STATE,5,CASES
1980,15,UTAH,UT,US,STATE,5,CASES
1980,15,CALIFORNIA,CA,US,STATE,38,CASES
1980,15,PUERTO RICO,PR,US,STATE,2,CASES
1980,16,NEW HAMPSHIRE,NH,US,STATE,26,CASES
1980,16,VERMONT,VT,US,STATE,34,CASES
1980,16,MASSACHUSETTS,MA,US,STATE,7,CASES
1980,16,UPSTATE NEW YORK,NY,US,STATE,34,CASES
1980,16,NEW YORK CITY,NY,US,STATE,81,CASES
1980,16,PENNSYLVANIA,PA,US,STATE,170,CASES
1980,16,OHIO,OH,US,STATE,17,CASES
1980,16,INDIANA,IN,US,STATE,6,CASES
1980,16,ILLINOIS,IL,US,STATE,4,CASES
1980,16,MICHIGAN,MI,US,STATE,21,CASES
1980,16,WISCONSIN,WI,US,STATE,76,CASES
1980,16,MINNESOTA,MN,US,STATE,93,CASES
1980,16,MISSOURI,MO,US,STATE,1,CASES
1980,16,NEBRASKA,NE,US,STATE,3,CASES
1980,16,MARYLAND,MD,US,STATE,6,CASES
1980,16,VIRGINIA,VA,US,STATE,22,CASES
1980,16,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,16,SOUTH CAROLINA,SC,US,STATE,3,CASES
1980,16,GEORGIA,GA,US,STATE,8,CASES
1980,16,FLORIDA,FL,US,STATE,27,CASES
